,01.java,02.java,03.java,04.java,05.java,06.java,07.java,08.java,09.java,10.java,11.java,12.java
01.java,1.0,0.3248407643312102,0.5882352941176471,0.5238095238095238,0.43312101910828027,0.5,0.5671641791044776,0.4094488188976378,0.43859649122807015,0.46616541353383456,0.4787234042553192,0.5348837209302325
02.java,0.3248407643312102,1.0,0.6666666666666666,0.38095238095238093,0.3375,0.46153846153846156,0.5447761194029851,0.44881889763779526,0.5,0.3609022556390977,0.4787234042553192,0.3798449612403101
03.java,0.5882352941176471,0.6666666666666666,1.0,0.4411764705882353,0.49019607843137253,0.5882352941176471,0.7647058823529411,0.5196078431372549,0.6568627450980392,0.5686274509803921,0.5106382978723404,0.5098039215686274
04.java,0.5238095238095238,0.38095238095238093,0.4411764705882353,1.0,0.6190476190476191,0.49206349206349204,0.49206349206349204,0.6349206349206349,0.5614035087719298,0.5079365079365079,0.5531914893617021,0.6904761904761905
05.java,0.43312101910828027,0.3375,0.49019607843137253,0.6190476190476191,1.0,0.5846153846153846,0.5597014925373134,0.47244094488188976,0.5701754385964912,0.46616541353383456,0.44680851063829785,0.627906976744186
06.java,0.5,0.46153846153846156,0.5882352941176471,0.49206349206349204,0.5846153846153846,1.0,0.6692307692307692,0.5511811023622047,0.6052631578947368,0.4230769230769231,0.5319148936170213,0.5426356589147286
07.java,0.5671641791044776,0.5447761194029851,0.7647058823529411,0.49206349206349204,0.5597014925373134,0.6692307692307692,1.0,0.5511811023622047,0.6578947368421053,0.5714285714285714,0.5957446808510638,0.4806201550387597
08.java,0.4094488188976378,0.44881889763779526,0.5196078431372549,0.6349206349206349,0.47244094488188976,0.5511811023622047,0.5511811023622047,1.0,0.6929824561403509,0.4015748031496063,0.5638297872340425,0.5984251968503937
09.java,0.43859649122807015,0.5,0.6568627450980392,0.5614035087719298,0.5701754385964912,0.6052631578947368,0.6578947368421053,0.6929824561403509,1.0,0.5526315789473685,0.5106382978723404,0.6052631578947368
10.java,0.46616541353383456,0.3609022556390977,0.5686274509803921,0.5079365079365079,0.46616541353383456,0.4230769230769231,0.5714285714285714,0.4015748031496063,0.5526315789473685,1.0,0.6170212765957447,0.5116279069767442
11.java,0.4787234042553192,0.4787234042553192,0.5106382978723404,0.5531914893617021,0.44680851063829785,0.5319148936170213,0.5957446808510638,0.5638297872340425,0.5106382978723404,0.6170212765957447,1.0,0.5212765957446809
12.java,0.5348837209302325,0.3798449612403101,0.5098039215686274,0.6904761904761905,0.627906976744186,0.5426356589147286,0.4806201550387597,0.5984251968503937,0.6052631578947368,0.5116279069767442,0.5212765957446809,1.0
